alim_nom_eng,Culinary Fruit or Vegetable,Botanical fruit,Grows on tree,Grows underground,Water (g/100g),Protein (g/100g),Carbohydrate (g/100g),Fat (g/100g),Sugars (g/100g),fructose (g/100g),galactose (g/100g),glucose (g/100g),lactose (g/100g),maltose (g/100g),sucrose (g/100g),Starch (g/100g),Fibres (g/100g),Polyols (g/100g),Ash (g/100g),Alcohol (g/100g),Organic acids (g/100g),FA saturated (g/100g),FA mono (g/100g),FA poly (g/100g),FA 4:0 (g/100g),FA 6:0 (g/100g),FA 8:0 (g/100g),FA 10:0 (g/100g),FA 12:0 (g/100g),FA 14:0 (g/100g),FA 16:0 (g/100g),FA 18:0 (g/100g),FA 18:1 n-9 cis (g/100g),"FA 18:2 9c,12c (n-6) (g/100g)","FA 18:3 c9,c12,c15 (n-3) (g/100g)","FA 20:4 5c,8c,11c,14c (n-6) (g/100g)","FA 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","FA 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholesterol (mg/100g),Salt (g/100g),Calcium (mg/100g),Chloride (mg/100g),Copper (mg/100g),Iron (mg/100g),Iodine (µg/100g),Magnesium (mg/100g),Manganese (mg/100g),Phosphorus (mg/100g),Potassium (mg/100g),Selenium (µg/100g),Sodium (mg/100g),Zinc (mg/100g),Retinol (µg/100g),Beta-carotene (µg/100g),Vitamin D (µg/100g),Vitamin E (mg/100g),Vitamin K1 (µg/100g),Vitamin K2 (µg/100g),Vitamin C (mg/100g),Vitamin B1 or Thiamin (mg/100g),Vitamin B2 or Riboflavin (mg/100g),Vitamin B3 or Niacin (mg/100g),Vitamin B5 or Pantothenic acid (mg/100g),Vitamin B6 (mg/100g),Vitamin B9 or Folate (µg/100g),Vitamin B12 (µg/100g)
"Tomato, round, raw",V,1,0,0,94.1,0.5,3.59,0.5,2.8,1.6,0,1.2,0.2,0.2,0.2,0.35,1,0.5,0.52,0,0.035,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,6.8,34.3,0.02,0.17,20,7,0.1,20,210,20,5,0.08,0,807,0,0.38,1.13,0,16.3,0,0.01,0.45,0.061,0.07,13.5,0
"Asparagus, green, raw",V,0,0,0,92.5,2.46,2.03,0.27,1.5,0,0,0,0,0,0,0,2.15,0,0.5,0,0,0.069,0.007,0.16,0,0,0,0,0,0,0.067,0.002,0.005,0.15,0.013,0,0,0,0,0.014,22.4,0,0,1,0,12.2,0,85.5,267,0,3.85,0,0,0,0,0,0,0,15.5,0,0,0,0,0.15,150,0
"Romanesco cauliflower or romanesco broccoli, raw",V,0,0,0,89.8,2.93,2.2,0.4,2.2,0,0,0,0,0,0,0,2.35,0,0.88,0,0,0.047,0.028,0.13,0,0,0,0,0,0,0.038,0.004,0,0,0,0,0,0,0,0.039,34.5,0,0.041,0.92,0,20,0.25,62,300,0,15.5,0.64,0,93,0,0.04,20.2,0,70.6,0.08,0.1,0.73,0.7,0.22,57,0
"Asparagus, white or purple, peeled, raw",V,0,0,0,92.4,2.5,2.5,0.3,0,0,0,0,0,0,0,0,1.8,0,0.6,0,0,0.07,0.006,0.17,0,0,0,0,0,0,0.068,0.002,0.005,0.15,0.014,0,0,0,0,0.019,16.6,0,0,0,0,7.3,0,42.5,169,0,7.7,0,0,0,0,0,0,0,18,0,0,0,0,0.072,150,0
"Lettuce, sucrine, raw",V,0,0,0,94.8,1.13,2.58,0.3,1.78,0.98,0.1,0.8,0.1,0.1,0.1,0,0.8,0,0.5,0,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,23,51.2,0.05,0.27,0,9.6,0.12,30,230,20,5,0.18,0,181,0,0.11,9.88,0,2.32,0.048,0.027,0.16,0.17,0.068,57.2,0
"Lettuce, oak-leaf, raw",V,0,0,0,95.8,1.13,1.03,0.5,0.6,0.3,0,0.3,0.2,0.2,0.2,0.35,1.8,0.5,0.71,0,0.069,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.023,33,72.1,0.04,0.82,20,12,0.19,20,280,20,9,0.18,0,854,0,0.08,34.8,0,2.16,0.047,0.01,0.2,0.11,0.069,36.7,0
"Tomato, bunch, raw",V,1,0,0,94.6,0.5,3.03,0.5,2.6,1.4,0,1.2,0.2,0.2,0.2,0.35,1.5,0.5,0.53,0,0.37,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,6.6,31.9,0.02,0.18,20,6.5,0.12,20,200,20,5,0.08,0,966,0,0.45,0.97,0,18.2,0.036,0.01,0.47,0.06,0.07,15,0
"Green salad, raw, without seasoning",V,0,0,0,96.1,1.01,1.5,0.1,0.83,0,0,0,0,0,0,0.5,1.3,0,0.54,0,0,0.028,0.0035,0.037,0,0,0,0,0,0.00052,0.019,0.0029,0.0022,0.021,0.016,0,0,0,0.5,0.046,35.3,61,0.061,0.64,5,15.3,0.22,23.5,260,3.23,18.3,0.18,0,2000,0.5,0.17,0,0,1.95,0.041,0.04,0.14,0.16,0.052,55.3,0
"Plantain banana, raw",F,1,1,0,65.3,1.28,29.6,0.39,0,0,0,0,0,0,0,23.7,2.3,0,1.19,0,0,0.14,0.032,0.069,0,0,0,0.001,0.002,0.002,0.096,0.005,0,0,0,0,0,0,0,0.01,3,0,0.081,0.6,2.5,37,0,34,499,0,4,0.14,0,457,0,0.14,0.7,0,18.4,0.052,0.054,0.69,0.26,0.3,22,0
"Cucumber, pulp with seeds, raw, sampled in the island of La Martinique",V,1,0,0,95.8,0.73,0,0.58,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
"Cucumber, pulp, raw, sampled in the island of La Martinique",V,1,0,0,96.8,0.42,0,0.27,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0
"Pumpkin (phoenix variety), pulp, grated, raw, sampled in the island of La Martinique",V,1,0,0,0,0,3.51,0,1.44,0.35,0,0.35,0,0,0.74,2.07,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0
"Papaya, pulp, raw, from Martinique",F,1,1,0,90.4,0.67,0,0.0033,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.3,0,0,0,0,0,0,0
"Potato, peeled, raw",V,1,0,0,79,2.16,16.2,0.18,0.78,0.15,0,0.22,0,0,0.41,15.4,1.8,0,1.02,0,0.61,0.038,0.0073,0.095,0,0,0,0.00095,0.0029,0.00095,0.028,0.0057,0.0073,0.041,0.054,0,0,0,0,0.016,14.3,50,0.079,0.91,1.2,22,0.11,56.2,418,22.9,0.44,0.35,0,1,0,0.055,8.95,0,18.9,0.068,0.048,1.33,0.34,0.25,26,0
"Apricot, pitted, raw",F,1,1,0,87.1,0.81,9.01,0.5,6.7,1.3,0,2,0.2,0.2,3.4,0.35,1.7,0.5,0.66,0,0.47,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,15,20,0.06,0.19,20,8.4,0.07,22,260,20,5,0.09,0,2350,0,0.7,0.8,0,2.55,0.03,0.013,0.1,0.19,0.054,7.6,0
